000758,中色股份
000759,中百集团
000760,博盈投资
000761,本钢板材
000762,西藏矿业
000766,通化金马
000767,漳泽电力
000768,中航飞机
000776,广发证券
000777,中核科技
000778,新兴铸管
000779,*ST派神 
000780,平庄能源
000782,美达股份
000783,长江证券
000785,武汉中商
000786,北新建材
000788,北大医药
000789,江西水泥
000790,华神集团
000791,甘肃电投
000792,盐湖股份
000793,华闻传媒
000795,太原刚玉
000796,易食股份
000797,中国武夷
000798,中水渔业
000799,酒 鬼 酒
000800,一汽轿车
000801,四川九洲
000802,北京旅游
000803,金宇车城
000806,银河投资
000807,云铝股份
000809,铁岭新城
000810,华润锦华
000811,烟台冰轮
000812,陕西金叶
000813,天山纺织
000815,美利纸业
000816,江淮动力
000818,方大化工
000819,岳阳兴长
000820,金城股份
000821,京山轻机
000822,*ST海化 
000823,超声电子
000825,太钢不锈
000826,桑德环境
000828,东莞控股
000829,天音控股
000830,鲁西化工
000831,五矿稀土
000833,贵糖股份
000835,四川圣达
000836,鑫茂科技
000837,秦川发展
000838,国兴地产
000839,中信国安
000848,承德露露
000850,华茂股份
000851,高鸿股份
000852,江钻股份
000856,冀东装备
000858,五 粮 液
000859,国风塑业
000860,顺鑫农业
000861,海印股份
000862,银星能源
000863,三湘股份
000868,安凯客车
000869,张  裕Ａ
000875,吉电股份
000876,新 希 望
000877,天山股份
000878,云南铜业
000880,潍柴重机
000881,大连国际
000882,华联股份
000883,湖北能源
000885,同力水泥
000886,海南高速
000887,中鼎股份
000888,峨眉山Ａ
000889,茂业物流
000890,法 尔 胜
000892,星美联合
000893,东凌粮油
000895,双汇发展
000897,津滨发展
000898,鞍钢股份
000899,赣能股份
000900,现代投资
000901,航天科技
000902,中国服装
000903,云内动力
000905,厦门港务
000906,物产中拓
000908,天一科技
000909,数源科技
000910,大亚科技
000911,南宁糖业
000912,泸 天 化
000913,钱江摩托
000915,山大华特
000916,华北高速
000917,电广传媒
000918,嘉凯城  
000919,金陵药业
000920,南方汇通
000921,海信科龙
000922,佳电股份
000923,河北宣工
000925,众合机电
000926,福星股份
000927,一汽夏利
000928,*ST吉炭 
000929,兰州黄河
000930,中粮生化
000931,中 关 村
000932,华菱钢铁
000933,神火股份
000935,四川双马
000936,华西股份
000937,冀中能源
000938,紫光股份
000939,凯迪电力
000948,南天信息
000949,新乡化纤
000950,建峰化工
000951,中国重汽
000952,广济药业
000953,*ST河化 
000955,欣龙控股
000957,中通客车
000958,东方热电
000959,首钢股份
000960,锡业股份
000961,中南建设
000962,东方钽业
000963,华东医药
000965,天保基建
000966,长源电力
000967,上风高科
000968,煤 气 化
000969,安泰科技
000970,中科三环
000971,蓝鼎控股
000972,新中基  
000973,佛塑科技
000975,银泰资源
000976,春晖股份
000977,浪潮信息
000978,桂林旅游
000979,中弘股份
000980,金马股份
000981,银亿股份
000982,中银绒业
000983,西山煤电
000985,大庆华科
000987,广州友谊
000988,华工科技
000989,九 芝 堂
000990,诚志股份
000993,闽东电力
000995,皇台酒业
000996,中国中期
000997,新 大 陆
000998,隆平高科
000999,华润三九
001696,宗申动力
001896,豫能控股
200002,万  科Ｂ
200011,深物业B 
200012,南  玻Ｂ
200016,深康佳Ｂ
200017,*ST中华B
200018,中冠B   
200019,深深宝Ｂ
200020,深华发Ｂ
200022,深赤湾Ｂ
200024,招商局Ｂ
200025,特  力Ｂ
200026,飞亚达Ｂ
200028,一致Ｂ  
200029,深深房Ｂ
200030,富奥B   
200037,深南电Ｂ
200045,深纺织Ｂ
200053,深基地Ｂ
200054,*ST建摩B
200055,方大Ｂ  
200056,深国商B 
200058,深赛格B 
200152,山  航Ｂ
200160,南江B   
200168,雷伊B   
200413,东旭B   
200418,小天鹅Ｂ
200429,粤高速Ｂ
200468,宁通信Ｂ
200488,晨  鸣Ｂ
200505,珠江B   
200512,闽灿坤Ｂ
200521,皖美菱Ｂ
200530,大  冷Ｂ
200539,粤电力Ｂ
200541,粤照明Ｂ
200550,江  铃Ｂ
200553,沙隆达Ｂ
200570,苏常柴Ｂ
200581,苏威孚Ｂ
200596,古井贡Ｂ
200613,大东海B 
200625,长  安Ｂ
200706,瓦  轴Ｂ
200725,京东方Ｂ
200726,鲁  泰Ｂ
200761,本钢板Ｂ
200770,*ST武锅B
200771,杭汽轮Ｂ
200869,张  裕Ｂ
200986,粤华包Ｂ
200992,中  鲁Ｂ
184691,基金景宏
184692,基金裕隆
184693,基金普丰
184698,基金天元
184699,基金同盛
184701,基金景福
184721,基金丰和
184722,基金久嘉
184728,基金鸿阳
002001,新 和 成
002002,鸿达兴业
002003,伟星股份
002004,华邦颖泰
002005,德豪润达
002006,精功科技
002007,华兰生物
002008,大族激光
002009,天奇股份
002010,传化股份
002011,盾安环境
002012,凯恩股份
002013,中航机电
002014,永新股份
002015,ST霞客  
002016,世荣兆业
002017,东信和平
002018,华星化工
002019,鑫富药业
002020,京新药业
002021,中捷股份
002022,科华生物
002023,海特高新
002024,苏宁云商
002025,航天电器
002026,山东威达
002027,七喜控股
002028,思源电气
002029,七 匹 狼
002030,达安基因
002031,巨轮股份
002032,苏 泊 尔
002033,丽江旅游
002034,美 欣 达
002035,华帝股份
002036,宜科科技
002037,久联发展
